Results - Estimator for roll and pitch angles

Data format:
Timestamp [s]:  Roll [deg]   ,   Pitch [deg]
58.331 s:       -178.719     ,     -1.455
58.341 s:       -178.895     ,     -1.337
58.351 s:       -178.906     ,     -1.669
58.361 s:       -178.786     ,     -1.676
58.371 s:       -178.486     ,     -1.339
58.381 s:       -178.552     ,     -1.390
58.391 s:       -178.610     ,     -1.679
58.401 s:       -178.852     ,     -1.664
58.411 s:       -178.482     ,     -1.576
58.421 s:       -178.719     ,     -1.280
58.431 s:       -178.733     ,     -1.842
58.441 s:       -178.730     ,     -1.732
58.451 s:       -179.077     ,     -1.384
58.461 s:       -178.601     ,     -1.282
58.471 s:       -178.493     ,     -1.970
58.481 s:       -178.001     ,     -2.225
58.491 s:       -178.782     ,     -1.739
58.501 s:       -178.896     ,     -1.510
58.511 s:       -178.614     ,     -1.674
58.521 s:       -178.556     ,     -1.962
58.531 s:       -178.438     ,     -1.735
58.541 s:       -178.790     ,     -1.556
58.551 s:       -179.070     ,     -1.394
58.561 s:       -178.895     ,     -1.802
58.571 s:       -178.839     ,     -1.799
58.581 s:       -178.555     ,     -1.618
58.591 s:       -178.788     ,     -1.615
58.601 s:       -178.611     ,     -1.504
58.611 s:       -178.782     ,     -1.623
58.621 s:       -178.788     ,     -1.788
58.631 s:       -178.551     ,     -1.623
58.641 s:       -179.021     ,     -1.727
58.651 s:       -178.500     ,     -1.615
58.661 s:       -178.608     ,     -1.565
58.671 s:       -178.441     ,     -1.616
58.681 s:       -178.893     ,     -1.340
58.691 s:       -178.958     ,     -1.388
58.701 s:       -178.610     ,     -1.563
58.711 s:       -178.781     ,     -1.741
58.721 s:       -178.603     ,     -1.397
58.731 s:       -178.781     ,     -1.509
58.741 s:       -179.015     ,     -1.274
58.751 s:       -179.018     ,     -1.328
58.761 s:       -178.664     ,     -1.742
58.771 s:       -178.433     ,     -1.972
58.781 s:       -178.724     ,     -1.913
58.791 s:       -178.956     ,     -1.623
58.801 s:       -178.905     ,     -1.325
58.811 s:       -178.559     ,     -1.440
58.821 s:       -178.378     ,     -1.332
58.831 s:       -178.331     ,     -1.726
58.841 s:       -179.188     ,     -1.739
58.851 s:       -178.676     ,     -1.842
58.861 s:       -178.780     ,     -2.149
58.871 s:       -178.494     ,     -1.448
58.881 s:       -178.786     ,     -1.618
58.891 s:       -178.792     ,     -1.323
58.901 s:       -178.724     ,     -1.681
58.911 s:       -178.898     ,     -1.565
58.921 s:       -178.597     ,     -1.811
58.931 s:       -178.786     ,     -1.791
58.941 s:       -178.792     ,     -1.438
58.951 s:       -178.672     ,     -1.501
58.961 s:       -178.385     ,     -1.499
58.971 s:       -178.490     ,     -1.800
58.981 s:       -178.727     ,     -1.388
58.991 s:       -178.784     ,     -1.621
59.001 s:       -178.842     ,     -1.390
59.011 s:       -178.733     ,     -1.554
59.021 s:       -178.549     ,     -1.856
59.031 s:       -178.784     ,     -1.621
59.041 s:       -178.787     ,     -1.790
59.051 s:       -178.965     ,     -1.208
59.061 s:       -178.549     ,     -1.276
59.071 s:       -178.668     ,     -1.679
59.081 s:       -178.674     ,     -1.843
59.091 s:       -178.904     ,     -1.384
59.101 s:       -178.731     ,     -1.730
59.111 s:       -178.555     ,     -1.733
59.121 s:       -178.957     ,     -1.795
59.131 s:       -178.905     ,     -1.498
59.141 s:       -178.905     ,     -1.095
59.151 s:       -178.724     ,     -1.623
59.161 s:       -178.600     ,     -1.400
59.171 s:       -178.662     ,     -1.512
59.181 s:       -178.665     ,     -1.335
59.191 s:       -178.677     ,     -1.840
59.201 s:       -178.565     ,     -1.779
59.211 s:       -178.728     ,     -1.791
59.221 s:       -179.013     ,     -1.625
59.231 s:       -178.850     ,     -1.725
59.241 s:       -178.907     ,     -1.725
59.251 s:       -178.847     ,     -1.786
59.261 s:       -178.615     ,     -1.557
59.271 s:       -178.604     ,     -1.512
59.281 s:       -178.606     ,     -1.742
59.291 s:       -179.077     ,     -1.500
59.301 s:       -178.901     ,     -1.504
59.311 s:       -179.012     ,     -1.336
59.321 s:       -178.661     ,     -1.280
59.331 s:       -178.500     ,     -1.672
59.341 s:       -178.795     ,     -1.435
59.351 s:       -179.135     ,     -1.844
59.361 s:       -178.722     ,     -1.974
59.371 s:       -178.837     ,     -1.802
59.381 s:       -178.669     ,     -1.793
59.391 s:       -178.969     ,     -1.890
59.401 s:       -178.549     ,     -1.798
59.411 s:       -178.673     ,     -1.672
59.421 s:       -178.449     ,     -1.723
59.431 s:       -178.503     ,     -1.266
59.441 s:       -178.905     ,     -1.152
59.451 s:       -178.722     ,     -1.452
59.461 s:       -178.774     ,     -1.401
59.471 s:       -178.774     ,     -1.226
59.481 s:       -179.415     ,     -0.585
59.491 s:       -178.007     ,     -0.797
59.501 s:       -179.133     ,     -1.560
59.511 s:       -178.542     ,     -1.108
59.521 s:       -179.117     ,     -1.119
59.531 s:       -178.946     ,     -1.406
59.541 s:       -178.553     ,     -1.735
59.551 s:       -178.895     ,     -2.267
59.561 s:       -178.660     ,     -2.504
59.571 s:       -179.363     ,     -2.778
59.581 s:       -178.964     ,     -2.819
59.591 s:       -179.135     ,     -2.825
59.601 s:       -178.726     ,     -2.605
59.611 s:       -178.654     ,     -2.514
59.621 s:       -178.385     ,     -2.363
59.631 s:       -178.909     ,     -2.467
59.641 s:       -178.848     ,     -2.417
59.651 s:       -179.006     ,     -2.454
59.661 s:       -178.936     ,     -2.540
59.671 s:       -178.542     ,     -3.146
59.681 s:       -178.844     ,     -3.637
59.691 s:       -178.948     ,     -3.386
59.701 s:       -179.242     ,     -3.438
59.711 s:       -178.722     ,     -3.713
59.721 s:       -178.660     ,     -4.362
59.731 s:       -178.854     ,     -4.402
59.741 s:       -179.066     ,     -4.893
59.751 s:       -179.244     ,     -4.932
59.761 s:       -179.123     ,     -4.957
59.771 s:       -178.672     ,     -5.068
59.781 s:       -178.907     ,     -5.276
59.791 s:       -179.597     ,     -5.802
59.801 s:       -178.898     ,     -6.294
59.811 s:       -179.303     ,     -6.423
59.821 s:       -179.529     ,     -6.566
59.831 s:       180.000     ,     -5.599
59.841 s:       -179.524     ,     -4.280
59.851 s:       -179.063     ,     -4.501
59.861 s:       -178.270     ,     -5.234
59.871 s:       -178.891     ,     -5.993
59.881 s:       -179.173     ,     -6.586
59.891 s:       -179.472     ,     -7.183
59.901 s:       -179.119     ,     -7.940
59.911 s:       -178.770     ,     -8.661
59.921 s:       -179.185     ,     -9.064
